T,ウサギ,キツネ
0.158365,715,30
0.158429,714,30
0.158494,713,30
0.158633,713,29
0.159138,714,29
0.159308,713,29
0.159701,714,29
0.159884,713,29
0.15989,713,28
0.160233,714,28
0.160299,715,28
0.160564,716,28
0.160637,717,28
0.160715,717,29
0.160807,716,29
0.160808,715,29
0.160873,716,29
0.161435,715,29
0.161502,716,29
0.161899,715,29
0.161905,715,30
0.162012,716,30
0.162095,715,30
0.162205,714,30
0.162259,715,30
0.162336,714,30
0.16243,713,30
0.16274,712,30
0.163071,713,30
0.163094,714,30
0.163171,715,30
0.163954,716,30
0.16413,717,30
0.164344,716,30
0.16441,717,30
0.164436,718,30
0.164614,719,30
0.164724,718,30
0.165199,717,30
0.165243,718,30
0.165437,719,30
0.165561,720,30
0.165605,719,30
0.166197,718,30
0.16625,719,30
0.166324,718,30
0.166518,719,30
0.166571,720,30
0.166577,721,30
0.167176,720,30
0.167425,719,30
0.167779,720,30
0.167876,719,30
0.167935,718,30
0.168364,717,30
0.168517,717,29
0.16874,716,29
0.169153,717,29
0.169405,716,29
0.169618,715,29
0.169763,716,29
0.169835,715,29
0.170076,716,29
0.170477,716,30
0.170755,717,30
0.170896,718,30
0.170935,719,30
0.171053,720,30
0.171252,721,30
0.171686,720,30
0.171937,720,31
0.171943,721,31
0.172044,720,31
0.172165,720,32
0.172179,719,32
0.17225,718,32
0.17231,717,32
0.172551,716,32
0.172559,715,32
0.172857,714,32
0.173084,713,32
0.173227,712,32
0.173282,711,32
0.173336,712,32
0.173389,711,32
0.173595,711,31
0.173595,710,31
0.174092,709,31
0.174219,708,31
0.174384,709,31
0.174476,710,31
0.174493,711,31
0.174682,711,32
0.174849,710,32
0.174888,711,32
0.175186,712,32
0.175247,713,32
0.17536,713,33
0.175581,712,33
0.175646,713,33
0.175826,714,33
0.175886,713,33
0.175945,712,33
0.176062,712,34
0.176089,713,34
0.176414,712,34
0.177365,711,34
0.178029,710,34
0.178115,711,34
0.178171,712,34
0.178513,713,34
0.178628,714,34
0.178755,715,34
0.178776,716,34
0.178854,715,34
0.179,715,35
0.179379,716,35
0.179613,716,36
0.179681,715,36
0.179892,714,36
0.179927,714,37
0.17997,715,37
0.180015,716,37
0.180359,715,37
0.180696,714,37
0.180789,713,37
0.181066,714,37
0.181127,713,37
0.181136,714,37
0.181299,713,37
0.181323,713,38
0.18163,714,38
0.181802,714,39
0.181891,715,39
0.182463,714,39
0.182578,715,39
0.182589,714,39
0.182601,715,39
0.182745,714,39
0.182856,713,39
0.182863,712,39
0.182884,713,39
0.183292,713,40
0.183426,714,40
0.183441,715,40
0.183559,714,40
0.183565,713,40
0.183802,712,40
0.183831,712,41
0.183839,713,41
0.183856,713,42
0.183994,713,43
0.184224,712,43
0.184232,711,43
0.184383,712,43
0.184465,712,44
0.184548,713,44
0.184747,714,44
0.18477,715,44
0.184853,716,44
0.184944,715,44
0.185101,714,44
0.185131,713,44
0.185403,712,44
0.185452,711,44
0.185609,712,44
0.185809,713,44
0.185921,712,44
0.186434,713,44
0.186463,714,44
0.186464,713,44
0.186467,714,44
0.186498,715,44
0.187462,716,44
0.187575,715,44
0.187863,716,44
0.187988,715,44
0.18802,716,44
0.188243,717,44
0.188309,718,44
0.188391,719,44
0.188544,720,44
0.189151,720,45
0.18934,719,45
0.189589,718,45
0.189843,717,45
0.189933,716,45
0.190052,716,46
0.190057,715,46
0.190606,715,47
0.190645,714,47
0.190817,713,47
0.190897,712,47
0.191059,711,47
0.191077,711,48
0.191177,712,48
0.191317,713,48
0.191527,714,48
0.191531,714,49
0.191614,715,49
0.191635,714,49
0.191797,715,49
0.192051,714,49
0.192071,715,49
0.192121,714,49
0.192135,713,49
0.192233,714,49
0.192374,715,49
0.19251,716,49
0.193147,715,49
0.193271,716,49
0.193319,715,49
0.193418,716,49
0.193436,715,49
0.193461,716,49
0.193678,716,50
0.193732,717,50
0.193962,716,50
0.193975,717,50
0.194124,716,50
0.194451,717,50
0.194466,716,50
0.194617,715,50
0.194645,716,50
0.194705,715,50
0.194763,714,50
0.19492,713,50
0.19504,712,50
0.195085,712,49
0.195105,711,49
0.19531,710,49
0.195476,709,49
0.195539,708,49
0.195668,707,49
0.195705,708,49
0.196106,708,50
0.196168,707,50
0.196184,706,50
0.196207,707,50
0.196376,708,50
0.196448,709,50
0.1965,708,50
0.196977,709,50
0.196987,710,50
0.197178,711,50
0.197294,710,50
0.197348,711,50
0.197764,710,50
0.198012,709,50
0.198223,708,50
0.198292,707,50
0.198414,706,50
0.198615,705,50
0.198731,706,50
0.198823,705,50
0.198897,705,49
0.198921,704,49
0.199141,704,50
0.199159,705,50
0.199209,706,50
0.199264,707,50
0.199374,708,50
0.199446,709,50
0.199474,709,49
0.199815,710,49
0.199895,709,49
0.200115,709,48
0.200125,709,49
0.200366,709,50
0.200406,710,50
0.200452,711,50
0.200514,710,50
0.20063,709,50
0.200636,708,50
0.20097,709,50
0.201122,708,50
0.201983,707,50
0.202091,706,50
0.202241,707,50
0.202536,708,50
0.202599,708,51
0.203306,708,52
0.203491,709,52
0.203648,708,52
0.203881,709,52
0.203932,710,52
0.203971,710,53
0.204049,709,53
0.204082,710,53
0.204224,711,53
0.204252,711,54
0.204318,710,54
0.204377,711,54
0.204434,710,54
0.204693,711,54
0.204749,712,54
0.204858,712,55
0.20489,711,55
0.205027,710,55
0.205149,711,55
0.205287,712,55
0.205319,711,55
0.20535,711,56
0.205414,712,56
0.205454,711,56
0.205563,712,56
0.205883,711,56
0.205991,710,56
0.206106,709,56
0.206124,708,56
0.206369,709,56
0.206547,708,56
0.206627,707,56
0.206658,708,56
0.206661,708,55
0.206887,708,56
0.207092,707,56
0.2073,708,56
0.207305,707,56
0.207519,706,56
0.207599,705,56
0.207609,704,56
0.207628,703,56
0.207641,702,56
0.207725,701,56
0.207785,702,56
0.207897,701,56
0.20791,700,56
0.208031,699,56
0.208107,698,56
0.208182,697,56
0.208207,696,56
0.208259,696,57
0.20829,697,57
0.208463,696,57
0.208477,697,57
0.208499,698,57
0.208703,697,57
0.209246,696,57
0.209429,695,57
0.209491,696,57
0.20979,695,57
0.209801,695,56
0.209835,694,56
0.209855,693,56
0.210015,692,56
0.210133,691,56
0.210189,690,56
0.210499,689,56
0.211017,689,57
0.211082,688,57
0.21119,687,57
0.211233,688,57
0.211389,689,57
0.211547,688,57
0.211567,689,57
0.211607,690,57
0.211932,689,57
0.212021,688,57
0.212264,689,57
0.212481,690,57
0.2125,689,57
0.21254,688,57
0.212813,687,57
0.213024,688,57
0.213397,689,57
0.213423,688,57
0.213467,689,57
0.21353,690,57
0.213543,691,57
0.213666,690,57
0.21383,691,57
0.213984,692,57
0.214343,693,57
0.214349,692,57
0.214434,691,57
0.2148,690,57
0.214833,690,58
0.214885,689,58
0.214902,690,58
0.215159,689,58
0.215205,690,58
0.215266,690,59
0.215302,691,59
0.215414,692,59
0.215547,692,60
0.215566,693,60
0.215745,694,60
0.215959,693,60
0.216182,694,60
0.216188,693,60
0.216281,694,60
0.216357,693,60
0.216563,693,61
0.216741,694,61
0.216788,694,62
0.216885,693,62
0.216996,692,62
0.217049,691,62
0.217082,690,62
0.217199,691,62
0.217254,692,62
0.21745,693,62
0.217518,692,62
0.217577,691,62
0.217783,692,62
0.218085,693,62
0.21811,694,62
0.218374,693,62
0.21838,694,62
0.218496,693,62
0.218583,692,62
0.218854,692,63
0.219007,691,63
0.219106,690,63
0.219394,691,63
0.219577,691,64
0.219679,692,64
0.219706,693,64
0.219843,692,64
0.22,691,64
0.220069,691,63
0.22009,690,63
0.220187,691,63
0.220235,690,63
0.220313,689,63
0.220318,690,63
0.220431,689,63
0.220524,690,63
0.220784,689,63
0.220883,690,63
0.22105,690,62
0.221621,691,62
0.222096,690,62
0.222101,689,62
0.222157,688,62
0.222347,687,62
0.222462,686,62
0.222522,687,62
0.22261,688,62
0.222696,689,62
0.223026,688,62
0.223072,689,62
0.223126,688,62
0.223275,687,62
0.223413,686,62
0.223978,685,62
0.223989,686,62
0.224166,687,62
0.224283,686,62
0.224298,685,62
0.224317,685,61
0.224328,684,61
0.22443,684,62
0.224471,684,63
0.224692,684,64
0.22484,683,64
0.224964,682,64
0.22513,683,64
0.225182,684,64
0.225213,683,64
0.225939,682,64
0.226053,683,64
0.226067,682,64
0.22609,683,64
0.226317,684,64
0.226366,683,64
0.226456,682,64
0.226623,681,64
0.226887,682,64
0.227011,683,64
0.227027,683,65
0.227237,683,66
0.227255,682,66
0.227441,681,66
0.227444,681,67
0.227529,682,67
0.227544,681,67
0.227576,680,67
0.227787,681,67
0.228117,680,67
0.228178,681,67
0.228305,680,67
0.228547,680,66
0.228626,680,67
0.228713,681,67
0.228762,680,67
0.228959,679,67
0.229011,678,67
0.229059,677,67
0.229509,676,67
0.229636,675,67
0.229741,676,67
0.229866,677,67
0.230068,678,67
0.230083,679,67
0.230129,678,67
0.230179,679,67
0.230202,680,67
0.230259,681,67
0.230368,680,67
0.230526,681,67
0.230579,682,67
0.230604,682,68
0.23066,681,68
0.230728,680,68
0.231044,679,68
0.231098,678,68
0.231103,677,68
0.23119,678,68
0.231243,677,68
0.231379,676,68
0.231408,677,68
0.231417,678,68
0.231424,677,68
0.231437,678,68
0.231438,679,68
0.231457,680,68
0.231631,679,68
0.23169,678,68
0.23179,677,68
0.231796,676,68
0.231851,677,68
0.231867,678,68
0.231877,677,68
0.231881,676,68
0.232455,675,68
0.232465,676,68
0.232476,677,68
0.232528,678,68
0.232628,677,68
0.232926,678,68
0.232952,677,68
0.233106,678,68
0.233264,677,68
0.233322,678,68
0.233348,679,68
0.233359,679,69
0.233372,678,69
0.233534,677,69
0.233616,677,70
0.233813,676,70
0.234106,675,70
0.234244,676,70
0.234244,677,70
0.234282,676,70
0.234291,675,70
0.234388,674,70
0.234424,673,70
0.234597,672,70
0.234682,671,70
0.23531,671,71
0.235326,672,71
0.235523,673,71
0.235529,672,71
0.235775,672,72
0.23591,671,72
0.236129,672,72
0.236197,671,72
0.236368,670,72
0.23648,670,73
0.236518,669,73
0.236519,668,73
0.23663,669,73
0.23687,669,74
0.237189,668,74
0.237258,667,74
0.237499,668,74
0.237688,667,74
0.237906,667,75
0.23793,666,75
0.237933,666,76
0.238041,667,76
0.238109,667,75
0.238522,668,75
0.23858,669,75
0.238605,669,76
0.238623,669,77
0.238936,670,77
0.239013,670,78
0.239056,671,78
0.239083,670,78
0.239083,671,78
0.239169,670,78
0.239209,671,78
0.239226,670,78
0.239334,669,78
0.239414,668,78
0.239638,669,78
0.239677,670,78
0.240207,669,78
0.240284,668,78
0.240378,669,78
0.240379,668,78
0.240454,667,78
0.240524,666,78
0.240595,665,78
0.240925,664,78
0.241057,663,78
0.241103,664,78
0.241134,665,78
0.242034,665,79
0.242121,664,79
0.242208,663,79
0.24231,662,79
0.242366,661,79
0.242376,662,79
0.242589,661,79
0.242614,662,79
0.242658,661,79
0.242717,661,78
0.242828,660,78
0.243007,659,78
0.243192,658,78
0.243213,657,78
0.243283,656,78
0.243516,655,78
0.243522,654,78
0.243553,654,79
0.243571,655,79
0.243669,656,79
0.24368,657,79
0.243983,656,79
0.243991,657,79
0.244004,656,79
0.244288,655,79
0.244372,654,79
0.244695,655,79
0.244742,654,79
0.24494,653,79
0.244959,652,79
0.245281,653,79
0.245284,652,79
0.245322,651,79
0.24533,652,79
