,ê∂éYé“,àÍéüè¡îÔé“,ìÒéüè¡îÔé“
253,1.721939,0.395492,1.080201
254,1.586045,0.651999,0.980723
255,1.298446,1.078274,1.07858
256,0.919964,1.410962,1.422519
257,0.729142,1.155601,1.921889
258,0.943821,0.607046,2.132562
259,1.408884,0.332731,1.858522
260,1.688562,0.27932,1.456297
261,1.737893,0.346885,1.149013
262,1.64592,0.547954,0.993868
263,1.40983,0.926417,1.021461
264,1.040007,1.347772,1.282099
265,0.752178,1.30893,1.762472
266,0.827536,0.769463,2.124624
267,1.259728,0.389523,1.981292
268,1.628211,0.28152,1.583228
269,1.739655,0.312231,1.234261
270,1.690399,0.464053,1.026356
271,1.504841,0.783635,0.989534
272,1.167951,1.231456,1.168181
273,0.816501,1.399237,1.592565
274,0.754667,0.957595,2.053923
275,1.100022,0.476221,2.077941
276,1.538025,0.297428,1.717304
277,1.725232,0.290028,1.335007
278,1.720703,0.39852,1.077004
279,1.582386,0.65814,0.980596
280,1.292097,1.086384,1.082384
281,0.914031,1.412421,1.43068
282,0.72918,1.146145,1.929683
283,0.951068,0.599379,2.131245
284,1.416221,0.330397,1.851534
285,1.691035,0.27955,1.44981
286,1.737389,0.349113,1.144916
287,1.643123,0.552991,0.992666
288,1.404273,0.934401,1.023857
289,1.03328,1.352697,1.288962
290,0.749851,1.302125,1.771443
291,0.83272,0.759971,2.126654
292,1.268136,0.3858,1.975247
293,1.632153,0.281078,1.57622
294,1.739945,0.313758,1.229306
295,1.68839,0.468052,1.024153
296,1.500207,0.790872,0.99064
297,1.161123,1.238611,1.173557
298,0.81214,1.396315,1.601577
299,0.75737,0.947259,2.059191
300,1.10848,0.470714,2.073721
301,1.54365,0.296185,1.710062
302,1.726463,0.290915,1.329254
303,1.71943,0.401593,1.073856
304,1.578679,0.664339,0.980527
305,1.285714,1.094476,1.086264
306,0.908159,1.413671,1.438897
307,0.729349,1.136598,1.937379
308,0.958402,0.591822,2.129762
309,1.423479,0.328126,1.844517
310,1.693439,0.279814,1.443357
311,1.736844,0.35138,1.140865
